trial,weights,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked
211,"0.4159,0.0738,0.0375,0.1176,0.1670,0.0052,0.0654,0.0063,0.0093,0.1018",0.4262075345594431,0.25766199649737304,0.6438995913601868,5.918272037361354,19979,13704
239,"0.3362,0.0738,0.0376,0.2417,0.0233,0.1663,0.0188,0.0873,0.0020,0.0130",0.4261989197675585,0.2580268534734384,0.6451401050788091,5.914769410391127,19979,13704
244,"0.2385,0.1470,0.0823,0.1578,0.0713,0.1326,0.0138,0.1191,0.0192,0.0185",0.42616048400667383,0.2581727962638646,0.6445563339171045,5.907837127845885,19979,13704
57,"0.2546,0.0757,0.0889,0.0605,0.1400,0.1015,0.0388,0.1405,0.0834,0.0160",0.42611075951623817,0.25722416812609455,0.6451401050788091,5.907764156450671,19979,13704
148,"0.2201,0.1108,0.2134,0.1152,0.1110,0.0279,0.1448,0.0098,0.0059,0.0410",0.4259951875558873,0.2559106830122592,0.6451401050788091,5.908420899007589,19979,13704
281,"0.4401,0.0900,0.1134,0.0210,0.1326,0.0631,0.0096,0.0312,0.0694,0.0294",0.4259883202069632,0.25809982486865146,0.6436806771745476,5.912434325744308,19979,13704
167,"0.2288,0.2202,0.0236,0.0622,0.1477,0.0970,0.0443,0.0406,0.1108,0.0248",0.42594776404894635,0.2565674255691769,0.6463076474022184,5.908639813193228,19979,13704
377,"0.3190,0.0169,0.0721,0.0846,0.0818,0.0811,0.1090,0.1745,0.0389,0.0220",0.42594148696158746,0.25707822533566843,0.6448482194979568,5.916082895504962,19979,13704
47,"0.2853,0.1437,0.0262,0.1586,0.0111,0.1455,0.0243,0.1879,0.0025,0.0150",0.4259405633418908,0.2581727962638646,0.6441185055458261,5.915645067133684,19979,13704
260,"0.1881,0.2245,0.0173,0.0146,0.2199,0.0080,0.0136,0.2325,0.0630,0.0184",0.4259375534395778,0.25634851138353765,0.6451401050788091,5.913601868067717,19979,13704
306,"0.3026,0.0520,0.0852,0.0374,0.2571,0.0834,0.0266,0.0620,0.0277,0.0660",0.4259343343749917,0.2559106830122592,0.6455049620548745,5.911339754816112,19979,13704
359,"0.1320,0.3055,0.1099,0.0348,0.1664,0.0149,0.0527,0.0919,0.0559,0.0360",0.4259164747850534,0.2555458260361938,0.6458698190309399,5.911558669001751,19979,13704
72,"0.3587,0.0059,0.0996,0.0566,0.0385,0.1703,0.1062,0.0565,0.0268,0.0810",0.42590204048125613,0.25824576765907764,0.6441185055458261,5.911120840630473,19979,13704
77,"0.1604,0.0753,0.0892,0.0067,0.0007,0.1597,0.0431,0.2459,0.1832,0.0358",0.4258966827362196,0.25809982486865146,0.6454319906596614,5.907764156450671,19979,13704
362,"0.3856,0.0046,0.1529,0.0656,0.0189,0.0945,0.2024,0.0573,0.0006,0.0176",0.42585821328160983,0.2577349678925861,0.6445563339171045,5.910610040863982,19979,13704
163,"0.2130,0.0868,0.1782,0.1345,0.2404,0.0528,0.0405,0.0185,0.0075,0.0278",0.425858165039545,0.2561295971978984,0.6452860478692353,5.9142586106246355,19979,13704
107,"0.3278,0.0219,0.1105,0.0511,0.1372,0.1573,0.0423,0.0521,0.0595,0.0404",0.42581849049366244,0.25751605370694686,0.6441914769410391,5.91082895504962,19979,13704
230,"0.0643,0.0105,0.1411,0.1052,0.1797,0.1131,0.1234,0.2119,0.0135,0.0374",0.42580358003467317,0.2558377116170461,0.6457238762405137,5.914550496205488,19979,13704
133,"0.3952,0.0660,0.0468,0.0148,0.3442,0.0378,0.0070,0.0363,0.0193,0.0326",0.4257881926815133,0.2562755399883246,0.6448482194979568,5.919877408056042,19979,13704
134,"0.1232,0.0057,0.0280,0.0996,0.2726,0.0518,0.0506,0.1720,0.1807,0.0159",0.4257734437639628,0.2562755399883246,0.6457968476357268,5.916812609457093,19979,13704
157,"0.1478,0.0358,0.1713,0.0309,0.0660,0.2422,0.0352,0.0514,0.0253,0.1940",0.42576718820597204,0.2568593111500292,0.6449941622883829,5.906523642732049,19979,13704
16,"0.2741,0.0380,0.0548,0.2964,0.0989,0.0229,0.0752,0.0965,0.0107,0.0323",0.42575282863426384,0.25518096906012844,0.6448482194979568,5.923598949211909,19979,13704
384,"0.0089,0.0804,0.1498,0.1068,0.0794,0.1334,0.0259,0.2642,0.0591,0.0922",0.4257484141318577,0.2564944541739638,0.6447752481027437,5.913091068301226,19979,13704
223,"0.2107,0.1328,0.0796,0.1858,0.0877,0.1367,0.0390,0.1139,0.0049,0.0089",0.42574111379063584,0.2577349678925861,0.6435347343841215,5.909734384121425,19979,13704
323,"0.0926,0.0682,0.1570,0.1188,0.0698,0.1292,0.0224,0.1698,0.0635,0.1087",0.42572505106532915,0.2558377116170461,0.6449941622883829,5.910391126678342,19979,13704
20,"0.1258,0.1018,0.0010,0.3062,0.2773,0.0240,0.0211,0.0705,0.0664,0.0061",0.4257078030440013,0.25569176882662,0.6447022767075307,5.919220665499124,19979,13704
46,"0.1982,0.0648,0.1890,0.1186,0.0181,0.1737,0.0127,0.0048,0.1176,0.1026",0.42570578148131816,0.25737011091652073,0.6449211908931699,5.9025102159953295,19979,13704
361,"0.1934,0.0870,0.1082,0.0732,0.0594,0.1219,0.0112,0.0964,0.1005,0.1488",0.4257017901650321,0.2568593111500292,0.6445563339171045,5.90725335668418,19979,13704
79,"0.1835,0.1821,0.0084,0.0518,0.1243,0.0679,0.0358,0.1436,0.1051,0.0975",0.425698212731581,0.2562025685931115,0.6447022767075307,5.915353181552831,19979,13704
85,"0.1964,0.1428,0.0406,0.0624,0.1475,0.0059,0.0053,0.1308,0.2608,0.0075",0.4256913720358823,0.2561295971978984,0.6456509048453006,5.906888499708114,19979,13704
