trial,k,members,ndcg5,recall1,recall5,mean_booked_rank,n_queries,n_booked
265,9,"B1,B10,B7,C8,D11,D14,E3,E4,I3",0.42601983484382944,0.2548161120840631,0.6473292469352014,5.900539988324577,19979,13704
373,5,"B1,E3,E4,E7,F13",0.42601417975047146,0.2568593111500292,0.6465995329830706,5.894483362521892,19979,13704
443,10,"A13,A6,B7,C9,E1,E10,E3,E4,E6,F8",0.42597921336517125,0.25722416812609455,0.6451401050788091,5.9039696438995914,19979,13704
304,4,"B10,B3,C9,I3",0.42591030248927036,0.25634851138353765,0.6446293053123175,5.914331582019848,19979,13704
426,10,"A1,B10,B3,C9,D11,E3,E4,E6,F1,I1",0.42590602398953814,0.2558377116170461,0.6463076474022184,5.906231757151197,19979,13704
395,5,"B3,B7,C9,D11,E3",0.4258549761282428,0.25569176882662,0.6457238762405137,5.912580268534734,19979,13704
332,9,"B1,B10,D14,E10,E3,F1,F13,F8,I6",0.4258304695667398,0.25459719789842383,0.6471103327495622,5.907983070636311,19979,13704
143,8,"A13,A6,B1,B7,E3,E4,E7,F1",0.42581569010574544,0.2552539404553415,0.646964389959136,5.89966433158202,19979,13704
239,7,"B1,B3,B9,C11,E3,F1,F13",0.4258073983610074,0.25503502626970226,0.6472562755399883,5.908274956217163,19979,13704
42,7,"B1,B3,B9,C9,D4,E4,E7",0.4257724096617107,0.25634851138353765,0.6451401050788091,5.901269702276707,19979,13704
428,10,"A1,A2,A5,B3,B9,E6,E7,F13,F2,F8",0.42576903369012387,0.2559836544074723,0.645942790426153,5.908056042031523,19979,13704
192,8,"A1,A6,B1,B6,D11,E3,E4,I3",0.4256999190983391,0.25576474022183304,0.6456509048453006,5.899737302977233,19979,13704
315,10,"A2,B3,B9,C9,D14,E1,E4,F1,F13,I1",0.4256944538474195,0.25678633975481613,0.6457238762405137,5.90156158785756,19979,13704
145,7,"A1,A13,B10,E1,E4,E6,F8",0.4256694449013511,0.25576474022183304,0.6447752481027437,5.914185639229422,19979,13704
154,10,"A13,B7,B9,C11,C9,D4,E3,E4,E7,I1",0.42564255982089905,0.2555458260361938,0.6447752481027437,5.897402218330415,19979,13704
301,10,"A1,A13,A2,A5,A6,B3,E10,E3,E7,F2",0.4256388599646251,0.25605662580268534,0.6468184471687098,5.904188558085231,19979,13704
309,6,"A6,B3,B9,E3,I3,I6",0.42558816335341276,0.25678633975481613,0.6464535901926445,5.904334500875657,19979,13704
185,6,"A11,A2,B10,B3,C6,F2",0.4255565105211576,0.2561295971978984,0.646015761821366,5.908566841798015,19979,13704
25,7,"A11,A6,B7,D4,E1,E4,E6",0.4255392484350683,0.256713368359603,0.6453590192644484,5.908566841798015,19979,13704
180,6,"B1,B9,E4,E6,F1,F13",0.4255381959981364,0.25488908347927614,0.646891418563923,5.920899007589025,19979,13704
202,9,"B3,B7,C8,D11,D14,E3,E4,F13,I1",0.4255379192817808,0.2561295971978984,0.6455779334500875,5.897913018096906,19979,13704
449,5,"A13,B3,C9,E1,F1",0.42553709142167717,0.25751605370694686,0.6449941622883829,5.913309982486865,19979,13704
77,10,"A11,A6,B3,B9,D4,E1,E10,E6,E7,I3",0.4255318817106033,0.25722416812609455,0.6467454757734968,5.911120840630473,19979,13704
310,9,"A1,A2,B3,B9,C6,C9,D4,F2,I3",0.42553166946840504,0.2559106830122592,0.6446293053123175,5.908201984821949,19979,13704
190,9,"A13,A2,B6,E1,E10,E4,E6,F8,I6",0.42552937139164493,0.2568593111500292,0.6457238762405137,5.900758902510216,19979,13704
189,9,"A11,B3,B6,B7,C6,E1,E4,E6,H2",0.4255285283016449,0.25678633975481613,0.6441185055458261,5.89966433158202,19979,13704
162,9,"A2,B10,B7,D4,E1,E10,E6,E7,E9",0.4255284073334883,0.2553998832457677,0.6456509048453006,5.910172212492703,19979,13704
