dropped,n_remaining,ndcg5,delta_vs_best_multi
rank_xendcg_regularized,2,0.4088544564172307,-0.0003755435827692555
DS_regularized,2,0.40904331401312105,-0.00018668598687893168
CP_regularized,2,0.40920306608400875,-2.693391599123407e-05
