test_id,phase,n_members,members_added,weights_added,v6_weight,total_added_weight,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_v4_anchor
v6_loo9_baseline,baseline,1,,,1.0,0.0,0.4089632047378948,0.24013299013299014,0.6238738738738738,6.181824681824682,0.0,0.004953204737894845
v6+brand_x_domestic@w=0.05,A1_single,2,brand_x_domestic,0.0500,0.95,0.05,0.4088917452153102,0.24016874016874018,0.6238738738738738,6.183969683969684,-6.825478468980295e-05,0.004881745215310207
v6+brand_x_domestic@w=0.10,A1_single,2,brand_x_domestic,0.1000,0.9,0.1,0.4086097797824616,0.23931073931073932,0.6238738738738738,6.183540683540683,-0.0003502202175383884,0.0045997797824616216
v6+brand_x_domestic@w=0.15,A1_single,2,brand_x_domestic,0.1500,0.85,0.15,0.40834997960416797,0.238988988988989,0.6233733733733734,6.186114686114686,-0.0006100203958320227,0.004339979604167987
v6+brand_x_domestic@w=0.20,A1_single,2,brand_x_domestic,0.2000,0.8,0.2,0.4081989402136724,0.23945373945373946,0.6227656227656228,6.187258687258687,-0.000761059786327567,0.004188940213672443
v6+brand_x_domestic@w=0.25,A1_single,2,brand_x_domestic,0.2500,0.75,0.25,0.4082434901397212,0.23934648934648933,0.6226226226226226,6.18951093951094,-0.000716509860278769,0.004233490139721241
v6+query_difficulty_index@w=0.05,A1_single,2,query_difficulty_index,0.0500,0.95,0.05,0.40893922852416614,0.2402044902044902,0.6236951236951237,6.18035893035893,-2.0771475833847308e-05,0.004929228524166163
v6+query_difficulty_index@w=0.10,A1_single,2,query_difficulty_index,0.1000,0.9,0.1,0.40866607401538246,0.23973973973973975,0.6241241241241241,6.183397683397684,-0.00029392598461752684,0.004656074015382483
v6+query_difficulty_index@w=0.15,A1_single,2,query_difficulty_index,0.1500,0.85,0.15,0.40871824323948375,0.23984698984698985,0.624016874016874,6.185935935935936,-0.00024175676051624295,0.004708243239483767
v6+query_difficulty_index@w=0.20,A1_single,2,query_difficulty_index,0.2000,0.8,0.2,0.4084903301674393,0.24006149006149005,0.6236951236951237,6.186686686686687,-0.00046966983256069295,0.004480330167439317
v6+query_difficulty_index@w=0.25,A1_single,2,query_difficulty_index,0.2500,0.75,0.25,0.4082217397229138,0.23941798941798942,0.6234091234091234,6.18943943943944,-0.0007382602770861779,0.004211739722913832
v6+is_long_window_x_top_quartile_price@w=0.05,A1_single,2,is_long_window_x_top_quartile_price,0.0500,0.95,0.05,0.4088924997646608,0.24016874016874018,0.6237666237666237,6.184219934219934,-6.75002353391907e-05,0.004882499764660819
v6+is_long_window_x_top_quartile_price@w=0.10,A1_single,2,is_long_window_x_top_quartile_price,0.1000,0.9,0.1,0.40872259366491387,0.23952523952523952,0.6243386243386243,6.186114686114686,-0.00023740633508612108,0.004712593664913889
v6+is_long_window_x_top_quartile_price@w=0.15,A1_single,2,is_long_window_x_top_quartile_price,0.1500,0.85,0.15,0.4087967756882756,0.23963248963248962,0.6245173745173745,6.185971685971686,-0.0001632243117243859,0.004786775688275624
v6+is_long_window_x_top_quartile_price@w=0.20,A1_single,2,is_long_window_x_top_quartile_price,0.2000,0.8,0.2,0.4083236414123664,0.23938223938223938,0.6243028743028743,6.187973687973688,-0.000636358587633612,0.004313641412366398
v6+is_long_window_x_top_quartile_price@w=0.25,A1_single,2,is_long_window_x_top_quartile_price,0.2500,0.75,0.25,0.4079730454221594,0.238988988988989,0.6233733733733734,6.192335192335192,-0.000986954577840593,0.003963045422159417
v6+prop_rare_x_long_trip@w=0.05,A1_single,2,prop_rare_x_long_trip,0.0500,0.95,0.05,0.40876448271210986,0.2398112398112398,0.6231946231946232,6.184327184327184,-0.00019551728789013456,0.004754482712109875
v6+prop_rare_x_long_trip@w=0.10,A1_single,2,prop_rare_x_long_trip,0.1000,0.9,0.1,0.4085496403209029,0.23938223938223938,0.6235521235521235,6.184863434863435,-0.00041035967909708315,0.004539640320902927
v6+prop_rare_x_long_trip@w=0.15,A1_single,2,prop_rare_x_long_trip,0.1500,0.85,0.15,0.40794865226311544,0.2388102388102388,0.6226941226941227,6.19044044044044,-0.0010113477368845492,0.003938652263115461
v6+prop_rare_x_long_trip@w=0.20,A1_single,2,prop_rare_x_long_trip,0.2000,0.8,0.2,0.40807238047046407,0.23902473902473903,0.6232661232661233,6.193657943657944,-0.0008876195295359213,0.004062380470464089
v6+prop_rare_x_long_trip@w=0.25,A1_single,2,prop_rare_x_long_trip,0.2500,0.75,0.25,0.40759629355343124,0.23845273845273846,0.6223008723008723,6.195767195767195,-0.0013637064465687465,0.0035862935534312634
