feature,n_models,gain_median,gain_pct_median,gain_pct_mean,split_median,split_pct_median,gain_rank_median,gain_rank_min,gain_rank_max
prop_click_rate,7,818870.7195014954,3.882656208841534,3.9703739492219303,3158.0,1.5598812983378694,3.0,3,5
prop_rel_rate,7,372734.3998069763,1.8065455499322574,1.7786033312247207,2345.0,1.1854636591478696,11.0,10,13
prop_book_rate,7,165830.67612075806,0.7669891813378854,0.7878851187569287,2312.0,1.1588972431077693,39.0,28,41
