member,feature,gain,split,gain_pct,split_pct,gain_rank
A1,prop_click_rate,810528.0233917236,2377.0,4.181287637841712,1.5473749308335774,3
A1,prop_book_rate,135781.8947944641,1668.0,0.7004608622550114,1.0858314617713114,39
A1,prop_rel_rate,372734.3998069763,1840.0,1.922832638888343,1.1977996940402955,11
B10,prop_click_rate,274246.5211582184,2612.0,4.414528408821326,1.8285938309460803,5
B10,prop_book_rate,46976.32130813599,1815.0,0.7561747878546257,1.2706346872768515,39
B10,prop_rel_rate,112229.16391086578,1926.0,1.8065455499322574,1.3483429243499812,13
B3,prop_click_rate,524867.5376300812,2029.0,4.259687931296643,1.5598812983378694,4
B3,prop_book_rate,110519.35146903992,1406.0,0.8969462080910756,1.0809231668127373,28
B3,prop_rel_rate,213439.52688407895,1480.0,1.7322194869109186,1.1378138598028815,13
D4,prop_click_rate,839606.6417312622,3287.0,3.7959773809540875,1.575161613402531,4
D4,prop_book_rate,166558.8007850647,2443.0,0.7530353012396876,1.1707087987655562,41
D4,prop_rel_rate,342005.16094207764,2345.0,1.546252483697271,1.1237462681560497,13
E3,prop_click_rate,896790.3137779236,4258.0,3.5343826875601274,1.5122833062817649,3
E3,prop_book_rate,221295.86867713928,3491.0,0.8721596063923887,1.239873419969385,34
E3,prop_rel_rate,458715.2761287689,3412.0,1.8078644534405268,1.2118155568420341,10
E4,prop_click_rate,818870.7195014954,3200.0,3.7240973892380826,1.5482722249639542,3
E4,prop_book_rate,169185.58699417114,2383.0,0.7694298841278262,1.1529789725278448,40
E4,prop_rel_rate,391482.9949569702,2393.0,1.7804041159731512,1.157817323230857,11
F13,prop_click_rate,839468.8216247559,3158.0,3.882656208841534,1.5829573934837093,3
F13,prop_book_rate,165830.67612075806,2312.0,0.7669891813378854,1.1588972431077693,37
F13,prop_rel_rate,400875.82093048096,2365.0,1.854104589730577,1.1854636591478696,11
