test_id,method,v6_weight,n_added,members_added,weights_added,total_added_weight,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_overnight_best,grid
C_equal_v6=0.725,rank_avg,0.725,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0688,0.0688,0.0688,0.0688",0.275,0.4096881806772974,0.24134849134849135,0.6243028743028743,6.1501144001144,0.0007281806772974075,-0.00010181932270258987,C_fine_equal
B_n5_v6=0.40,rank_avg,0.4,5,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42+xendcg_conservative,"0.1200,0.1200,0.1200,0.1200,0.1200",0.6,0.40968633108722685,0.24084799084799086,0.6244101244101244,6.132918632918633,0.0007263310872268613,-0.00010366891277313606,B_aggressive
C_cb_skew1.5_v6=0.800,global_z,0.8,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0600,0.0600,0.0400,0.0400",0.19999999999999996,0.4096834439381955,0.2412054912054912,0.624982124982125,6.166094666094666,0.0007234439381955116,-0.00010655606180448585,C_fine_cb_skew
C_cb_skew1.5_v6=0.650,global_z,0.65,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1050,0.1050,0.0700,0.0700",0.35,0.4096794615601188,0.2413127413127413,0.625017875017875,6.159087659087659,0.000719461560118817,-0.0001105384398811804,C_fine_cb_skew
C_xen_skew1.5_v6=0.725,global_z,0.725,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0550,0.0550,0.0825,0.0825",0.275,0.40967631194020176,0.24077649077649077,0.6253038753038753,6.162984412984413,0.0007163119402017748,-0.00011368805979822261,C_fine_xen_skew
A_n2_v6=0.65,global_z,0.65,2,cb_rank_C_deeper+cb_rank_A,"0.1750,0.1750",0.35,0.4096750674202375,0.24206349206349206,0.6238738738738738,6.161411411411412,0.0007150674202375251,-0.00011493257976247229,A_conservative
A_n2_v6=0.70,blend_rank_query_z,0.7,2,cb_rank_C_deeper+cb_rank_A,"0.1500,0.1500",0.30000000000000004,0.4096745717194214,0.2414914914914915,0.6241956241956242,6.164235664235664,0.0007145717194214085,-0.0001154282805785889,A_conservative
A_n5_v6=0.65,global_z,0.65,5,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42+xendcg_conservative,"0.0700,0.0700,0.0700,0.0700,0.0700",0.35,0.40967394089362014,0.24088374088374087,0.6255183755183755,6.156406406406407,0.0007139408936201463,-0.00011605910637985106,A_conservative
A_n2_v6=0.85,global_z,0.85,2,cb_rank_C_deeper+cb_rank_A,"0.0750,0.0750",0.15000000000000002,0.40967270571431963,0.24152724152724153,0.6246603746603746,6.1688474188474185,0.0007127057143196391,-0.00011729428568035827,A_conservative
C_xen_skew1.5_v6=0.750,global_z,0.75,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0500,0.0500,0.0750,0.0750",0.25,0.4096711976172384,0.24074074074074073,0.6254826254826255,6.164700414700414,0.0007111976172384238,-0.00011880238276157362,C_fine_xen_skew
C_equal_v6=0.775,global_z,0.775,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0562,0.0562,0.0562,0.0562",0.22499999999999998,0.4096710421437794,0.2407049907049907,0.6251966251966252,6.165308165308165,0.0007110421437794279,-0.00011895785622056954,C_fine_equal
B_n5_v6=0.50,rank_avg,0.5,5,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42+xendcg_conservative,"0.1000,0.1000,0.1000,0.1000,0.1000",0.5,0.4096701500084808,0.24074074074074073,0.6243743743743744,6.136851136851137,0.0007101500084807921,-0.00011984999151920528,B_aggressive
B_CB_skew2.0_v6=0.60,global_z,0.6,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1333,0.1333,0.0667,0.0667",0.4,0.40966790401108644,0.24152724152724153,0.6242671242671243,6.157014157014157,0.0007079040110864465,-0.0001220959889135509,B_aggressive_cb_skew
B_n4_v6=0.60,blend_rank_query_z,0.6,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1000,0.1000,0.1000,0.1000",0.4,0.40966790163950745,0.24088374088374087,0.624982124982125,6.148863148863149,0.0007079016395074578,-0.00012209836049253964,B_aggressive
C_equal_v6=0.600,blend_rank_query_z,0.6,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1000,0.1000,0.1000,0.1000",0.4,0.40966790163950745,0.24088374088374087,0.624982124982125,6.148863148863149,0.0007079016395074578,-0.00012209836049253964,C_fine_equal
B_CB_skew1.5_v6=0.50,rank_avg,0.5,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1500,0.1500,0.1000,0.1000",0.5,0.4096672360277598,0.24095524095524096,0.6242671242671243,6.14021164021164,0.0007072360277597944,-0.00012276397224020297,B_aggressive_cb_skew
C_cb_skew1.5_v6=0.650,rank_avg,0.65,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.1050,0.1050,0.0700,0.0700",0.35,0.4096667495163272,0.24091949091949091,0.6241598741598742,6.147933647933648,0.0007067495163272097,-0.00012325048367278768,C_fine_cb_skew
B_XEN_skew2.0_v6=0.70,global_z,0.7,4,cb_rank_C_deeper+cb_rank_A+struct_rank_xendcg_regularized+xendcg_reg_seed42,"0.0500,0.0500,0.1000,0.1000",0.30000000000000004,0.4096659668114792,0.24056199056199057,0.6254468754468755,6.161375661375661,0.0007059668114792195,-0.00012403318852077794,B_aggressive_xen_skew
