ensemble,n_members,members,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_v4_anchor
v6_loo9_baseline,1,v6_loo9,0.4089632047378948,0.24013299013299014,0.6238738738738738,6.181824681824682,3.204737894835219e-06,0.004953204737894845
v6_loo9_plus_all,4,v6_loo9+is_long_window_x_top_quartile_price+brand_x_domestic+query_difficulty_index,0.40713728946683964,0.23963248963248962,0.622014872014872,6.2067424567424565,-0.0018227105331603544,0.0031272894668396556
v6_loo9_plus_top2,3,v6_loo9+brand_x_domestic+is_long_window_x_top_quartile_price,0.40695757696527846,0.23834548834548835,0.6220863720863721,6.2081009581009585,-0.0020024230347215344,0.0029475769652784756
v6_loo9_plus_brand_x_domestic,2,v6_loo9+brand_x_domestic,0.4069474107235429,0.23773773773773774,0.6221578721578721,6.2077792077792076,-0.0020125892764570885,0.0029374107235429214
v6_loo9_plus_is_long_window_x_top_quartile_price,2,v6_loo9+is_long_window_x_top_quartile_price,0.40662058719414934,0.23931073931073932,0.6212641212641212,6.216716716716717,-0.002339412805850649,0.002610587194149361
v6_loo9_plus_query_difficulty_index,2,v6_loo9+query_difficulty_index,0.4065992729679999,0.23773773773773774,0.6206921206921207,6.212998712998713,-0.002360727032000076,0.002589272967999934
