config_id,description,ndcg5,recall5,mean_booked_rank,best_iter,label_gain,objective,boosting,weighting,feat_filter,row_filter,seed,n_features,kept,has_dart,has_goss,has_xendcg,has_filter,has_rowfilter,high_smoothing_or_drop,mbr_z,recall_z,ndcg_z
B1,"lg=0,2,15, w=no_ipw",0.4211999717030242,0.6370402802101576,5.993140688849971,363.0,"0,2,15",lambdarank,gbdt,no_ipw,,,456,143,CANDIDATE,False,False,False,False,False,False,1.799679175163871,-2.130173310025507,-0.6898016076426806
A2,"label_gain=0,2,18",0.4211473384948694,0.6382807939287799,5.9605954465849385,539.0,"0,2,18",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE,False,False,False,False,False,False,-0.34006796394426453,-1.1690178274378848,-0.7714972065697847
B7,"lg=0,3,15, w=no_ipw",0.4211130638933019,0.6379159369527145,6.002116170461179,359.0,"0,3,15",lambdarank,gbdt,no_ipw,,,456,143,CANDIDATE,False,False,False,False,False,False,2.3897888121824575,-1.4517106164342242,-0.8246971577263094
C8,"lg=0,3,15, seed=789",0.4211012295346639,0.6403239929947461,5.955268534734384,479.0,"0,3,15",lambdarank,gbdt,ipw_default,,,789,143,CANDIDATE,False,False,False,False,False,False,-0.6902956346951248,0.4140617909417188,-0.8430660744377105
E9,params={'reg_lambda': 3.0},0.4210925706952336,0.6386456509048453,5.972489784004671,322.0,"0,2,15",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE,False,False,False,False,False,False,0.4419472460886078,-0.8863250384415454,-0.856506050796198
A11,"label_gain=0,5,20",0.4210860870131338,0.6403969643899592,5.9740951546993575,344.0,"0,5,20",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE,False,False,False,False,False,False,0.5474953112463046,0.4706003487410211,-0.8665698168283881
A5,"label_gain=0,3,12",0.4210860870131338,0.6403969643899592,5.9740951546993575,344.0,"0,3,12",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE,False,False,False,False,False,False,0.5474953112463046,0.4706003487410211,-0.8665698168283881
D14,"feature_filter=keep_te_and_raw, lg=0,2,15",0.4210687899112557,0.6390834792761237,5.9710303561004086,409.0,"0,2,15",lambdarank,gbdt,ipw_default,keep_te_and_raw,,456,135,CANDIDATE,False,False,False,True,False,True,0.34599445958143565,-0.5470936916459038,-0.8934178306048272
C6,"lg=0,3,15, seed=42",0.4210580763147767,0.6400321074138937,5.953663164039696,518.0,"0,3,15",lambdarank,gbdt,ipw_default,,,42,143,CANDIDATE,False,False,False,False,False,False,-0.7958436998529382,0.18790755974459572,-0.9100471357849116
F1,drop all-zero queries,0.421036625366641,0.6394483362521891,5.975773496789259,392.0,"0,2,15",lambdarank,gbdt,ipw_default,,drop_all_zero_q,456,143,CANDIDATE,False,False,False,False,True,False,0.657841015729497,-0.26440090264956445,-0.943342618179743
E10,params={'reg_alpha': 0.5},0.4210224847364751,0.6403969643899592,5.97438704028021,380.0,"0,2,15",lambdarank,gbdt,ipw_default,,,456,143,CANDIDATE,False,False,False,False,False,False,0.5666858685477624,0.4706003487410211,-0.965291256522547
