ensemble_id,exp_id,date,member_ids,n_members,weighting,agg_method,local_ndcg5,kaggle_ndcg5,notes,method,members,weights,ndcg5,recall1,recall5,mean_booked_rank,beats_v4,n_queries,n_booked,note
LOO_top10_drop_C9,,,,9,,,,,,loo_top10,"B3,F13,D4,A1,B10,I3,B9,C11,F1",,0.4251167714670937,,0.645067133683596,5.910391126678342,NO,19979.0,13704.0,Top10 minus C9 (delta=-0.00009)
LOO_top10_drop_F1,,,,9,,,,,,loo_top10,"B3,F13,D4,A1,B10,I3,B9,C9,C11",,0.42507499863629594,,0.6439725627553999,5.909004670169294,NO,19979.0,13704.0,Top10 minus F1 (delta=-0.00013)
LOO_top10_drop_D4,,,,9,,,,,,loo_top10,"B3,F13,A1,B10,I3,B9,C9,C11,F1",,0.4249444928701567,,0.6442644483362522,5.913601868067717,NO,19979.0,13704.0,Top10 minus D4 (delta=-0.00026)
W1_random_subset_000,,,,9,,,,,,WILDCARD_random_subset,"B1,B10,B7,C8,D11,D14,E3,E4,I3",,0.42601983484382944,0.2548161120840631,0.6473292469352014,5.900539988324577,YES,19979.0,13704.0,"WILDCARD W1 trial 265, k=9"
W1_random_subset_001,,,,5,,,,,,WILDCARD_random_subset,"B1,E3,E4,E7,F13",,0.42601417975047146,0.2568593111500292,0.6465995329830706,5.894483362521892,YES,19979.0,13704.0,"WILDCARD W1 trial 373, k=5"
W1_random_subset_002,,,,10,,,,,,WILDCARD_random_subset,"A13,A6,B7,C9,E1,E10,E3,E4,E6,F8",,0.42597921336517125,0.25722416812609455,0.6451401050788091,5.9039696438995914,YES,19979.0,13704.0,"WILDCARD W1 trial 443, k=10"
W1_random_subset_003,,,,4,,,,,,WILDCARD_random_subset,"B10,B3,C9,I3",,0.42591030248927036,0.25634851138353765,0.6446293053123175,5.914331582019848,YES,19979.0,13704.0,"WILDCARD W1 trial 304, k=4"
W1_random_subset_004,,,,10,,,,,,WILDCARD_random_subset,"A1,B10,B3,C9,D11,E3,E4,E6,F1,I1",,0.42590602398953814,0.2558377116170461,0.6463076474022184,5.906231757151197,YES,19979.0,13704.0,"WILDCARD W1 trial 426, k=10"
W1_random_subset_005,,,,5,,,,,,WILDCARD_random_subset,"B3,B7,C9,D11,E3",,0.4258549761282428,0.25569176882662,0.6457238762405137,5.912580268534734,YES,19979.0,13704.0,"WILDCARD W1 trial 395, k=5"
W1_random_subset_006,,,,9,,,,,,WILDCARD_random_subset,"B1,B10,D14,E10,E3,F1,F13,F8,I6",,0.4258304695667398,0.25459719789842383,0.6471103327495622,5.907983070636311,YES,19979.0,13704.0,"WILDCARD W1 trial 332, k=9"
W1_random_subset_007,,,,8,,,,,,WILDCARD_random_subset,"A13,A6,B1,B7,E3,E4,E7,F1",,0.42581569010574544,0.2552539404553415,0.646964389959136,5.89966433158202,YES,19979.0,13704.0,"WILDCARD W1 trial 143, k=8"
W1_random_subset_008,,,,7,,,,,,WILDCARD_random_subset,"B1,B3,B9,C11,E3,F1,F13",,0.4258073983610074,0.25503502626970226,0.6472562755399883,5.908274956217163,YES,19979.0,13704.0,"WILDCARD W1 trial 239, k=7"
W1_random_subset_009,,,,7,,,,,,WILDCARD_random_subset,"B1,B3,B9,C9,D4,E4,E7",,0.4257724096617107,0.25634851138353765,0.6451401050788091,5.901269702276707,YES,19979.0,13704.0,"WILDCARD W1 trial 42, k=7"
W1_random_subset_010,,,,10,,,,,,WILDCARD_random_subset,"A1,A2,A5,B3,B9,E6,E7,F13,F2,F8",,0.42576903369012387,0.2559836544074723,0.645942790426153,5.908056042031523,YES,19979.0,13704.0,"WILDCARD W1 trial 428, k=10"
W1_random_subset_011,,,,8,,,,,,WILDCARD_random_subset,"A1,A6,B1,B6,D11,E3,E4,I3",,0.4256999190983391,0.25576474022183304,0.6456509048453006,5.899737302977233,YES,19979.0,13704.0,"WILDCARD W1 trial 192, k=8"
W1_random_subset_012,,,,10,,,,,,WILDCARD_random_subset,"A2,B3,B9,C9,D14,E1,E4,F1,F13,I1",,0.4256944538474195,0.25678633975481613,0.6457238762405137,5.90156158785756,YES,19979.0,13704.0,"WILDCARD W1 trial 315, k=10"
W1_random_subset_013,,,,7,,,,,,WILDCARD_random_subset,"A1,A13,B10,E1,E4,E6,F8",,0.4256694449013511,0.25576474022183304,0.6447752481027437,5.914185639229422,YES,19979.0,13704.0,"WILDCARD W1 trial 145, k=7"
