test_id,phase,n_members,members_added,weights_added,v6_weight,total_added_weight,ndcg5,recall1,recall5,mean_booked_rank,delta_vs_v6_loo9,delta_vs_v4_anchor
v6+cp_reg_seed42@w=0.030,1_single,2,cp_reg_seed42,0.0300,0.97,0.03,0.4090438607884209,0.24031174031174032,0.6238738738738738,6.18035893035893,8.386078842093081e-05,0.005033860788420941
v6+cb_rank_A@w=0.030,1_single,2,cb_rank_A,0.0300,0.97,0.03,0.4090383444206622,0.24027599027599028,0.624016874016874,6.1784641784641785,7.834442066223524e-05,0.005028344420662245
v6+XEN_SEED_AVG@0.05+CP_REG_SEED_AVG@0.075+DS_REG_SEED_AVG@0.075,6_seed_avg_triple,4,XEN_SEED_AVG+CP_REG_SEED_AVG+DS_REG_SEED_AVG,"0.0500,0.0750,0.0750",0.8,0.2,0.4090383228052721,0.24052624052624053,0.6240883740883741,6.17049192049192,7.832280527209079e-05,0.005028322805272101
v6+ds_reg_seed456@w=0.030,1_single,2,ds_reg_seed456,0.0300,0.97,0.03,0.40903359651943316,0.24034749034749034,0.623945373945374,6.1795724295724295,7.359651943317225e-05,0.005023596519433182
v6+cb_rank_B_regularized@w=0.050,1_single,2,cb_rank_B_regularized,0.0500,0.95,0.05,0.4090335944470118,0.24034749034749034,0.6236593736593736,6.173709423709424,7.35944470118266e-05,0.0050235944470118366
v6+xendcg_reg_seed2024@w=0.030,1_single,2,xendcg_reg_seed2024,0.0300,0.97,0.03,0.40903198895700327,0.24049049049049048,0.6239811239811239,6.1784641784641785,7.198895700327723e-05,0.005021988957003287
v6+XEN_SEED_AVG@0.05+CP_REG_SEED_AVG@0.1+DS_REG_SEED_AVG@0.05,6_seed_avg_triple,4,XEN_SEED_AVG+CP_REG_SEED_AVG+DS_REG_SEED_AVG,"0.0500,0.1000,0.0500",0.8,0.2,0.40903143932018843,0.24049049049049048,0.623945373945374,6.17006292006292,7.14393201884378e-05,0.005021439320188448
v6+struct_CP_regularized@w=0.050,1_single,2,struct_CP_regularized,0.0500,0.95,0.05,0.40902737398873906,0.24034749034749034,0.6239811239811239,6.180394680394681,6.73739887390723e-05,0.005017373988739082
v6+pool_xendcg_conservative+struct_rank_xendcg_regularized@0.075each,7_pool_n2,3,xendcg_conservative+struct_rank_xendcg_regularized,"0.0750,0.0750",0.85,0.15,0.4090240861911993,0.2402044902044902,0.6239096239096239,6.162912912912913,6.408619119929737e-05,0.005014086191199307
v6+xendcg_reg_seed123@w=0.050,1_single,2,xendcg_reg_seed123,0.0500,0.95,0.05,0.40902402128552967,0.24027599027599028,0.6238738738738738,6.1752109252109255,6.402128552968067e-05,0.005014021285529691
v6+xendcg_reg_seed2024@w=0.075,1_single,2,xendcg_reg_seed2024,0.0750,0.925,0.075,0.40901647427019555,0.24041899041899042,0.6243028743028743,6.172493922493922,5.647427019556117e-05,0.005006474270195571
v6+ds_reg_seed123@w=0.150,1_single,2,ds_reg_seed123,0.1500,0.85,0.15,0.40901612736206805,0.24041899041899042,0.6241956241956242,6.176033176033176,5.612736206805913e-05,0.005006127362068069
v6+ds_reg_seed123@w=0.200,1_single,2,ds_reg_seed123,0.2000,0.8,0.2,0.4090067036736086,0.24013299013299014,0.624016874016874,6.177391677391677,4.670367360859462e-05,0.004996703673608605
