bucket,segment_attr,n,high_disagreement_rate,mean_top5_overlap,mean_abs_rank_diff
1,site_id,497,0.13480885311871227,4.633802816901408,0.7072278825532289
10,site_id,406,0.19950738916256158,4.635467980295567,0.7521909297236301
11,site_id,1436,0.10863509749303621,4.681058495821727,0.6691943499368992
12,site_id,3205,0.14726989079563182,4.663338533541341,0.6850212896837128
13,site_id,393,0.13231552162849872,4.636132315521628,0.7240784111291388
14,site_id,19359,0.08202903042512527,4.715532827108838,0.6252919462029296
15,site_id,12631,0.12128889240756868,4.701132135222864,0.6546183288253881
16,site_id,3927,0.1520244461420932,4.6679399032340205,0.6899626619259418
17,site_id,259,0.20077220077220076,4.55984555984556,0.8007635181110859
18,site_id,5521,0.15323310994385075,4.66799492845499,0.6938049460362254
19,site_id,1883,0.15560276155071695,4.612851832182687,0.724493835355536
2,site_id,262,0.20610687022900764,4.66412213740458,0.7444146346815896
20,site_id,4,0.0,4.25,0.8808355039070326
21,site_id,166,0.13253012048192772,4.63855421686747,0.6374572673659705
22,site_id,1890,0.09894179894179894,4.644973544973545,0.665296959103855
23,site_id,537,0.12849162011173185,4.677839851024209,0.6819240083064783
24,site_id,10140,0.11952662721893491,4.641025641025641,0.7209805646940929
25,site_id,526,0.21863117870722434,4.644486692015209,0.7775709254548198
26,site_id,675,0.1837037037037037,4.622222222222222,0.8166073869110706
27,site_id,215,0.13023255813953488,4.660465116279069,0.6422255163276833
28,site_id,195,0.17435897435897435,4.61025641025641,0.7617280088287239
29,site_id,1243,0.13193885760257443,4.696701528559935,0.6633344889223046
3,site_id,146,0.18493150684931506,4.691780821917808,0.7991587057092413
30,site_id,142,0.09859154929577464,4.676056338028169,0.6274910731740017
31,site_id,1161,0.12747631352282515,4.705426356589148,0.6327349053290305
32,site_id,7110,0.14120956399437412,4.668354430379747,0.7282789827744497
33,site_id,33,0.21212121212121213,4.454545454545454,0.8798509344792654
34,site_id,428,0.1425233644859813,4.630841121495327,0.7121325429941369
4,site_id,572,0.18006993006993008,4.645104895104895,0.7355850918178258
5,site_id,121410,0.08706037393954369,4.7176756445103365,0.6311654261603106
6,site_id,117,0.09401709401709402,4.726495726495727,0.6014954740750739
7,site_id,1309,0.10618792971734148,4.713521772345302,0.6461719153839394
8,site_id,1,0.0,5.0,0.967741935483871
9,site_id,1750,0.12685714285714286,4.652571428571428,0.6988374061848263
0,is_family,150471,0.10070379009908886,4.699476975629856,0.6586449294785709
1,is_family,49078,0.09980031786136355,4.712355841721341,0.620015124724856
mixed/foreign,is_domestic_frac,73464,0.13961940542306436,4.664107590112164,0.7124622004363366
domestic,is_domestic_frac,126085,0.07767775706864417,4.725098148074712,0.6122515793469603
"(-0.001, 4.0]",booking_window,51363,0.09162237408251075,4.718824834997956,0.6284752172330307
"(4.0, 17.0]",booking_window,49843,0.09363401079389283,4.707983066829846,0.6401402961240611
"(17.0, 49.0]",booking_window,48728,0.10222048924642915,4.69532917419143,0.6588103757247898
"(49.0, 498.0]",booking_window,49615,0.11482414592361181,4.687715408646579,0.6700930388803227
"(0.999, 2.0]",length_of_stay,134469,0.07892525414779615,4.723125776201206,0.6133761406970013
"(2.0, 3.0]",length_of_stay,28664,0.12241836449902317,4.676214066424784,0.6957666382616656
"(3.0, 59.0]",length_of_stay,36416,0.16281304920913883,4.647819639718805,0.7445225256013581
"(0.999, 2.0]",adults,176203,0.10045231920001362,4.70194605086179,0.651641201577095
"(2.0, 9.0]",adults,23346,0.10070247579885205,4.707915702904137,0.6302976455635922
"(-0.001, 9.0]",children,199549,0.10048158597637673,4.702644463264662,0.6491441374039284
"(0.999, 8.0]",rooms,199549,0.10048158597637673,4.702644463264662,0.6491441374039284
"(4.999, 18.0]",candidate_count,52138,0.0017645479304921555,4.848670835091488,0.24273004310204793
"(18.0, 29.0]",candidate_count,48063,0.06083681834259202,4.69023989347315,0.619603277284314
"(29.0, 32.0]",candidate_count,61392,0.17104834506124578,4.626351967683085,0.8676594582741334
"(32.0, 38.0]",candidate_count,37956,0.17214669617451786,4.64116345241859,0.8913811441953936
