feature,spearman_with_position,abs_corr,adv_gain,ranker_gain,pos_rank,adv_rank,ranker_rank
prop_avg_position,0.4105892334281294,0.4105892334281294,413.7799987792969,512985,1.0,26.0,7.0
prop_location_score2,-0.2234575807179305,0.2234575807179305,31.067660242319107,1694100,9.0,37.0,1.0
prop_click_rate,-0.21953797693007865,0.21953797693007865,62.519901275634766,645998,10.0,35.0,4.0
query_hotel_count,0.3062900006692789,0.3062900006692789,334.1301216483116,177461,4.0,28.0,28.0
prop_site_book_rate,-0.1797435088077238,0.1797435088077238,29.483099937438965,261074,15.0,38.0,17.0
dest_click_rate,-0.1528578573262714,0.1528578573262714,11170.30445420742,136184,21.0,11.0,40.0
loc2_vs_mean,-0.16954129916335722,0.16954129916335722,1.590572968125343,332543,18.0,48.0,12.0
