member,mean_abs_rank_diff_vs_ensemble,max_abs_rank_diff,n_top1_disagreements
B10,1.283318042755127,20.85714340209961,4377164
E3,1.15003502368927,17.571428298950195,4355479
D4,1.0428069829940796,18.0,4337985
E4,1.0383450984954834,16.571428298950195,4335815
B3,1.0087121725082397,17.71428680419922,4334021
F13,1.0086461305618286,16.0,4330816
A1,0.9414804577827454,16.571428298950195,4319865
