feature,adv_gain,adv_split,feature_group,ranker_gain,adv_share,ranker_share
srch_query_affinity_score,0.0,0,raw,79871,0.0,0.00413483354073679
price_ratio_to_hist,0.0,0,price,424029,0.0,0.021951513458515357
has_historical_price,0.0,0,missing_flag,267,0.0,1.3822295393531104e-05
has_query_affinity,0.0,0,missing_flag,673,0.0,3.484046741515518e-05
has_visitor_history,0.0,0,missing_flag,20,0.0,1.0353779320997081e-06
has_location_score2,0.0,0,missing_flag,15379,0.0,0.0007961538608880705
is_weekend_search,0.0,0,temporal,1286,0.0,6.657480103401123e-05
srch_saturday_night_bool,0.0,0,raw,2902,0.0,0.00015023333794766765
srch_room_count,0.0,0,raw,5550,0.0,0.000287317376157669
srch_adults_count,0.0,0,raw,18447,0.0,0.0009549808356721658
review_vs_mean,0.0,0,listwise_within_query,199353,0.0,0.010320284844893656
loc1_vs_mean,0.0,0,listwise_within_query,215595,0.0,0.011161115263551829
price_z_score,0.0,0,listwise_within_query,330339,0.0,0.017101285535594275
star_vs_mean,0.0,0,listwise_within_query,114611,0.0,0.005933285008793983
location1_rank_norm,0.0,0,listwise_within_query,108287,0.0,0.005605898506664055
location2_rank_norm,0.0,0,listwise_within_query,807632,0.0,0.04181021750287758
price_vs_mean,0.0,0,listwise_within_query,204751,0.0,0.010599733348767367
price_vs_median,0.0,0,listwise_within_query,281379,0.0,0.014566680357814188
review_rank_norm,0.0,0,listwise_within_query,119801,0.0,0.006201965582173857
price_rank_norm,0.0,0,listwise_within_query,85820,0.0,0.004442806706639848
location2_rank,0.0,0,listwise_within_query,488956,0.0,0.025312712608387244
review_is_zero,0.0,0,quality,1968,0.0,0.00010188118851861128
price_rank,0.0,0,listwise_within_query,276734,0.0,0.014326213833084031
starrating_rank,0.0,0,listwise_within_query,54760,0.0,0.002834864778089001
review_rank,0.0,0,listwise_within_query,105045,0.0,0.005438063743870692
location1_rank,0.0,0,listwise_within_query,53840,0.0,0.002787237393212414
comp_rate_pct_mean,0.0,0,competitor,90921,0.0,0.004706879848221878
comp_no_inv_count,0.0,0,competitor,7629,0.0,0.00039494491219943366
comp_rate_pct_max,0.0,0,competitor,76909,0.0,0.003981494068992822
comp_rate_pct_min,0.0,0,competitor,66484,0.0,0.00344180332188585
comp_rate_advantage,0.0,0,competitor,6895,0.0,0.00035694654209137436
starrating_is_zero,0.0,0,quality,621,0.0,3.2148484791695934e-05
value_score,0.0,0,quality,121355,0.0,0.006282414447498004
star_review_product,0.0,0,quality,55170,0.0,0.0028560900256970447
log_price,0.0,0,price,26573,0.0,0.0013756548894842773
total_cost,0.0,0,price,132905,0.0,0.006880345203285586
price_diff_from_visitor_hist,0.0,0,visitor,55823,0.0,0.0028898951151801002
abs_star_diff,0.0,0,visitor,48126,0.0,0.0024914299180115278
price_ratio_to_visitor_hist,0.0,0,visitor,73398,0.0,0.003799733473012719
is_best_review,0.0,0,listwise_within_query,321,0.0,1.6617815810200316e-05
price_percentile,0.0,0,listwise_within_query,127043,0.0,0.006576875931387161
is_best_location1,0.0,0,listwise_within_query,621,0.0,3.2148484791695934e-05
is_family,0.0,0,interaction,3563,0.0,0.000184452578603563
is_long_window,0.0,0,interaction,2756,0.0,0.00014267507904333978
is_last_minute,0.0,0,interaction,7495,0.0,0.00038800788005436565
promo_x_cheap,0.0,0,interaction,207313,0.0,0.01073236526186934
star_x_brand,0.0,0,interaction,34624,0.0,0.0017924462760510148
query_affinity_exp,0.0,0,interaction,66478,0.0,0.00344149270850622
value_score_rank,0.0,0,listwise_within_query,440740,0.0,0.02281662348968127
price_per_night_per_star,0.0,0,interaction,158890,0.0,0.00822555998156613
location_total_rank_norm,0.0,0,listwise_within_query,120731,0.0,0.006250110656016493
n_best_flags,0.0,0,listwise_within_query,10773,0.0,0.0005577063231255078
value_score_rank_norm,0.0,0,listwise_within_query,222989,0.0,0.01154389448504909
star_percentile,0.0,0,listwise_within_query,108110,0.0,0.005596735411964972
review_percentile,0.0,0,listwise_within_query,183233,0.0,0.00948577023162129
quality_rank_avg,0.0,0,listwise_within_query,134722,0.0,0.006974409288416844
