segment_dim,segment_value,n_booked,v6_top5_only_pct,v4_top5_only_pct,v6_helps_pct,v6_hurts_pct,net_v6_advantage_pct,v6_mean_pos,v4_mean_pos
seg_dest,high_dest,6675,0.03146067415730337,0.024269662921348314,0.23220973782771537,0.22292134831460675,0.00928838951310862,6.617078651685393,6.660973782771536
seg_dest,low_dest,7650,0.03725490196078431,0.03202614379084967,0.2968627450980392,0.2802614379084967,0.016601307189542502,8.482483660130718,8.581045751633987
seg_dest,mid_dest,6930,0.042712842712842716,0.03535353535353535,0.3,0.27936507936507937,0.020634920634920617,8.245454545454546,8.348773448773448
seg_cand,high_cand,9722,0.0415552355482411,0.035383665912363714,0.3288418020983337,0.3105328121785641,0.01830898991976959,9.456181855585271,9.57652746348488
seg_cand,low_cand,6294,0.02780425802351446,0.01986018430251033,0.1782650142993327,0.17286304416904988,0.005401970130282818,4.976326660311408,4.995710200190658
seg_cand,mid_cand,5239,0.0404657377362092,0.03493033021569002,0.30177514792899407,0.2788700133613285,0.022905134567665575,8.197556785646116,8.287459438824204
seg_los,los_le2,15735,0.03590721321893867,0.028916428344455035,0.26971719097553226,0.25179536066094693,0.01792183031458533,7.663616142357801,7.73892596123292
seg_los,los_3plus,5520,0.040942028985507244,0.03568840579710145,0.3,0.29094202898550725,0.009057971014492738,8.263405797101449,8.368115942028986
seg_dom,international,7355,0.04214819850441876,0.03467029231815092,0.2943575798776343,0.2788579197824609,0.015499660095173395,8.038069340584636,8.139089055064582
seg_dom,domestic,13900,0.03460431654676259,0.02856115107913669,0.268705035971223,0.2530215827338129,0.015683453237410105,7.703669064748201,7.77705035971223
