feature,booked_mean,topwrong_mean,delta_book_minus_wrong,abs_delta_pct_of_booked
price_vs_median,-3.6752902644941194,-10.059108707284846,6.3838184427907265,1.7369562624008046
prop_dest_book_rate,0.03713567146634721,0.07571483301720139,-0.038579161550854175,1.0388706865565736
comp_rate_advantage,0.11399670665725711,0.20978593272171253,-0.09578922606445542,0.8402806364588671
prop_book_rate,0.03467496780744793,0.05898880440758428,-0.02431383660013635,0.7011927461320142
prop_click_rate,0.05308586632525292,0.08320172303309127,-0.030115856707838354,0.5673045996087975
promotion_flag,0.2565984474241355,0.38202775817454715,-0.12542931075041164,0.48881554631650614
location2_rank_norm,0.38281511204838903,0.2267515151501227,0.15606359689826632,0.40767355200665595
prop_location_score2,0.1599917585607254,0.2243708721133745,-0.06437911355264911,0.40239018390327663
price_vs_mean,-16.715429875518584,-23.099248346797832,6.383818471279248,0.3819117138140178
value_score_rank_norm,0.4424832602066801,0.2787540287601404,0.16372923144653972,0.37002355976142387
price_vs_prop_mean,-57.72924851861961,-73.7477314160925,16.018482897472893,0.2774760335227458
prop_avg_position,14.923551517345013,11.507647392526007,3.415904124819006,0.2288935124202809
star_percentile,0.5586248124153705,0.6570083255071383,-0.09838351309176774,0.1761173344418086
quality_rank_avg,0.36858044768962994,0.3163728409806899,0.052207606708940035,0.14164507882755992
prop_count,161.55878616796048,182.1290049400141,-20.570218772053636,0.12732342981669229
price_rank_norm,0.46172673721344043,0.4118484324693042,0.04987830474413624,0.10802559309675328
review_rank_norm,0.3685281500333794,0.3325887903664064,0.035939359666973036,0.09752134149371354
prop_starrating,3.2123265114090804,3.5006821924253115,-0.2883556810162311,0.08976537095538868
price_ratio_to_hist,0.8386731196522766,0.7692930637759252,0.06938005587635143,0.0827259800843399
location1_rank_norm,0.45257692403470917,0.42186584578044023,0.030711078254268942,0.06785825028952512
price_usd,150.60817224143616,144.2243537855439,6.3838184558922535,0.04238693266668245
prop_review_score,3.8554390439752493,4.006472111084961,-0.15103306710971198,0.039174025408740855
comp_no_inv_count,0.10119971771347919,0.09776523171018583,0.003434486003293352,0.0339377030584167
prop_location_score1,2.823936961822245,2.9129127322491746,-0.08897577042692939,0.0315077041726905
prop_brand_bool,0.664549517760527,0.644930604563632,0.019618913196894905,0.02952212384938113
orig_destination_distance,1236.2252363466835,1236.319515400918,-0.09427905423444827,7.62636544396936e-05
value_score,inf,0.7739237085037359,inf,
