bucket,dest_click_rate_min,dest_click_rate_mean,dest_click_rate_max,n_searches,n_rows,book_rate_per_row,book_rate_per_search,candidate_count_mean,price_spread_mean,ndcg_at_5,recall_at_5,mbr
low,0.030798310413956642,0.03707786649465561,0.03992748260498047,13316,376627,0.02614257607659568,0.7394112346049865,28.283793932111745,279.1260986328125,0.37999774279708864,0.5812512695510867,6.884623197237457
mid,0.039927639067173004,0.04227810725569725,0.044975899159908295,13323,337181,0.02665334049071567,0.674547774525257,25.308188846355925,2563.17333984375,0.38347782091975813,0.5891843774340715,6.646266829865361
high,0.04498280584812164,0.05613457038998604,0.23128144443035126,13320,264500,0.03455198487712666,0.6861111111111111,19.85735735735736,1004.3192138671875,0.45250660789510216,0.6901192690666375,5.150125834336361
